Elukoht;isikute_arv_arvut;isikute_arv;vanus_0_14;vanus_15_64;vanus_65;Seisund_hoivatu;Seisund_oppur
1kmN6587E0530;1058;1058;219;627;212;547;42
1kmN6590E0738;1053;1053;132;664;257;400;46
1kmN6477E0660;1053;1053;320;691;42;584;31
1kmN6520E0581;1050;1050;145;652;253;495;42
1kmN6534E0473;1035;1035;147;620;268;487;47
1kmN6558E0543;1034;1034;204;624;206;495;61
1kmN6513E0637;1027;1027;158;626;243;471;45
1kmN6590E0715;1018;1018;103;611;304;429;49
1kmN6584E0694;1018;1018;120;602;296;431;43
1kmN6467E0658;1015;1015;202;635;178;555;43
1kmN6598E0642;1009;1009;129;599;281;431;36
1kmN6503E0614;1008;1008;120;566;322;468;43
1kmN6474E0538;1007;1007;153;570;284;427;32
1kmN6532E0473;1007;1007;167;599;241;516;36
1kmN6528E0589;1006;1006;146;638;222;484;60
1kmN6595E0549;1001;1001;203;631;167;533;53
1kmN6589E0553;1000;1000;206;644;150;551;31
1kmN6587E0531;994;994;270;631;93;506;68
1kmN6580E0534;989;989;235;644;110;516;63
1kmN6589E0551;986;986;159;684;143;541;42
1kmN6581E0633;964;964;177;629;158;460;57
1kmN6466E0659;959;959;290;615;54;491;54
1kmN6438E0680;957;957;127;568;262;447;45
1kmN6588E0553;939;939;149;622;168;538;40
1kmN6590E0542;935;935;209;632;94;514;29
1kmN6472E0663;933;933;223;647;63;540;46
1kmN6570E0612;931;931;123;564;244;452;40
1kmN6580E0694;927;927;190;559;178;376;55
1kmN6471E0663;925;925;224;632;69;493;73
1kmN6601E0545;922;922;199;580;143;452;67
1kmN6580E0635;918;918;155;585;178;464;51
1kmN6591E0537;917;917;62;766;89;628;22
1kmN6469E0532;906;906;121;521;264;418;32
1kmN6588E0539;903;903;100;579;224;482;24
1kmN6575E0531;903;903;181;586;136;485;54
1kmN6559E0543;903;903;191;553;159;431;38
1kmN6444E0704;897;897;110;548;239;411;39
1kmN6574E0537;894;894;202;547;145;448;58
1kmN6578E0503;893;893;124;533;236;454;30
1kmN6559E0542;884;884;175;549;160;443;48
1kmN6580E0536;884;884;181;572;131;463;47
1kmN6590E0581;883;883;172;533;178;455;35
1kmN6589E0713;869;869;100;500;269;362;35
1kmN6467E0533;864;864;137;490;237;421;38
1kmN6429E0614;863;863;149;544;170;390;37
1kmN6589E0532;863;863;179;608;76;482;65
1kmN6589E0534;857;857;185;604;68;478;50
1kmN6470E0529;851;851;147;476;228;383;29
1kmN6583E0546;851;851;308;524;19;436;23
1kmN6529E0590;846;846;154;517;175;414;38
1kmN6502E0614;845;845;104;493;248;374;46
1kmN6437E0647;837;837;133;489;215;398;35
1kmN6561E0566;837;837;157;494;186;401;33
1kmN6583E0536;837;837;157;541;139;445;55
1kmN6467E0659;834;834;229;518;87;428;49
1kmN6590E0628;826;826;152;518;156;412;41
1kmN6591E0539;822;822;71;573;178;380;29
1kmN6471E0536;816;816;202;515;99;382;58
1kmN6445E0556;815;815;87;498;230;365;40
1kmN6585E0546;815;815;150;523;142;456;32
1kmN6590E0687;811;811;119;535;157;425;33
1kmN6539E0547;811;811;162;479;170;402;34
1kmN6572E0555;809;809;119;556;134;441;38
1kmN6574E0538;809;809;150;489;170;422;50
1kmN6591E0548;805;805;158;519;128;409;50
1kmN6468E0635;799;799;125;487;187;375;32
1kmN6468E0532;798;798;106;479;213;377;39
1kmN6591E0525;795;795;264;501;30;388;53
1kmN6594E0547;784;784;150;529;105;407;49
1kmN6461E0648;775;775;167;512;96;421;52
1kmN6515E0546;770;770;100;403;267;304;21
1kmN6527E0590;764;764;93;453;218;362;37
1kmN6580E0533;764;764;282;470;12;381;37
1kmN6413E0678;756;756;106;492;158;351;42
1kmN6556E0628;744;744;102;443;199;337;31
1kmN6470E0660;743;743;0;726;17;83;81
1kmN6455E0640;741;741;143;437;161;334;48
1kmN6595E0558;740;740;93;523;124;445;26
1kmN6532E0550;734;734;142;474;118;344;41
1kmN6470E0535;733;733;161;462;110;375;40
1kmN6590E0551;728;728;100;445;183;359;23
1kmN6593E0550;726;726;182;481;63;397;43
1kmN6457E0641;724;724;100;434;190;342;35
1kmN6590E0533;723;723;143;475;105;366;57
1kmN6575E0513;722;722;128;447;147;332;39
1kmN6572E0537;722;722;182;442;98;378;30
1kmN6456E0642;705;705;138;422;145;293;39
1kmN6540E0546;705;705;144;419;142;326;33
1kmN6598E0545;698;698;151;461;86;390;30
1kmN6592E0547;697;697;131;456;110;353;33
1kmN6540E0428;692;692;84;480;128;382;37
1kmN6441E0591;689;689;79;370;240;290;31
1kmN6473E0530;687;687;122;461;104;357;30
1kmN6560E0566;687;687;122;422;143;363;29
1kmN6580E0633;685;685;134;427;124;342;30
1kmN6556E0629;679;679;102;398;179;316;24
1kmN6575E0638;678;678;131;424;123;329;26
1kmN6528E0524;677;677;105;406;166;337;29
1kmN6591E0736;676;676;111;416;149;277;40
1kmN6502E0560;673;673;87;408;178;313;21
1kmN6583E0541;673;673;111;442;120;370;31
1kmN6430E0613;671;671;92;373;206;278;29
1kmN6471E0662;671;671;133;447;91;355;57
1kmN6469E0659;664;664;127;457;80;357;48
1kmN6595E0550;660;660;147;424;89;350;29
1kmN6489E0585;652;652;105;389;158;302;31
1kmN6470E0662;651;651;143;424;84;339;53
1kmN6573E0523;649;649;125;398;126;325;39
1kmN6496E0529;648;648;106;370;172;310;23
1kmN6576E0532;647;647;167;394;86;347;22
1kmN6584E0696;645;645;0;623;22;135;61
1kmN6582E0638;644;644;112;393;139;319;25
1kmN6503E0615;640;640;96;379;165;283;34
1kmN6591E0546;640;640;108;409;123;317;31
1kmN6491E0446;637;637;74;393;170;333;21
1kmN6593E0548;636;636;130;411;95;316;36
1kmN6596E0551;632;632;161;380;91;316;25
1kmN6505E0490;630;630;84;369;177;270;26
1kmN6500E0590;629;629;109;359;161;243;34
1kmN6590E0703;621;621;86;395;140;311;27
1kmN6456E0641;621;621;92;364;165;293;46
1kmN6529E0524;620;620;87;360;173;282;32
1kmN6470E0663;617;617;124;436;57;343;38
1kmN6457E0412;616;616;119;407;90;312;41
1kmN6470E0536;615;615;119;376;120;279;33
1kmN6563E0562;615;615;120;348;147;308;34
1kmN6593E0553;613;613;71;417;125;339;20
1kmN6590E0546;613;613;148;426;39;316;32
1kmN6504E0614;611;611;99;397;115;295;41
1kmN6537E0616;609;609;105;360;144;283;39
1kmN6519E0581;606;606;83;340;183;268;23
1kmN6585E0553;606;606;157;372;77;319;20
1kmN6440E0682;603;603;99;379;125;267;40
1kmN6476E0528;603;603;118;386;99;292;23
1kmN6514E0637;589;589;116;363;110;271;46
1kmN6471E0528;587;587;125;352;110;275;35
1kmN6591E0551;578;578;74;346;158;270;19
1kmN6573E0524;577;577;131;375;71;310;31
1kmN6533E0476;576;576;121;376;79;293;37
1kmN6501E0559;573;573;68;358;147;264;30
1kmN6579E0633;571;571;99;354;118;277;32
1kmN6579E0550;571;571;187;353;31;285;20
1kmN6443E0579;570;570;69;330;171;257;21
1kmN6581E0693;570;570;91;341;138;211;21
1kmN6517E0582;569;569;94;379;96;288;31
1kmN6499E0590;568;568;56;316;196;231;19
1kmN6598E0547;566;566;195;357;14;271;34
1kmN6592E0699;564;564;74;375;115;289;34
1kmN6578E0535;562;562;115;346;101;283;22
1kmN6549E0513;559;559;92;336;131;264;26
1kmN6588E0562;558;558;129;358;71;295;13
1kmN6571E0612;556;556;95;339;122;226;24
1kmN6588E0530;551;551;141;333;77;292;26
1kmN6521E0429;549;549;84;332;133;283;35
1kmN6472E0654;548;548;124;343;81;280;20
1kmN6587E0551;546;546;0;533;13;120;54
1kmN6439E0680;546;546;98;314;134;254;24
1kmN6473E0537;545;545;88;342;115;251;25
1kmN6579E0635;545;545;92;360;93;271;31
1kmN6597E0729;544;544;43;365;136;221;27
1kmN6586E0533;537;537;142;352;43;288;24
1kmN6416E0677;532;532;80;340;112;251;23
1kmN6447E0632;531;531;89;322;120;245;27
1kmN6536E0493;523;523;92;326;105;240;22
1kmN6532E0472;522;522;82;333;107;251;24
1kmN6567E0513;520;520;90;332;98;245;12
1kmN6469E0596;517;517;66;312;139;262;17
1kmN6471E0656;516;516;67;286;163;248;26
1kmN6588E0537;516;516;110;345;61;271;28
1kmN6593E0552;514;514;53;360;101;301;19
1kmN6494E0545;514;514;63;275;176;177;11
1kmN6470E0596;513;513;82;335;96;259;34
1kmN6602E0545;513;513;93;328;92;256;37
1kmN6594E0550;513;513;96;345;72;282;26
1kmN6581E0552;513;513;201;301;11;248;26
1kmN6580E0546;513;513;216;295;2;241;11
1kmN6539E0428;512;512;63;327;122;263;32
